Date,PX_LAST,PX_INVERSE
4/13/2015,6.2167,0.1609
4/10/2015,6.2088,0.1611
4/9/2015,6.2058,0.1611
4/8/2015,6.2027,0.1612
4/7/2015,6.1976,0.1614
4/3/2015,6.1943,0.1614
4/2/2015,6.1969,0.1614
4/1/2015,6.198,0.1613
3/31/2015,6.1997,0.1613
3/30/2015,6.2078,0.1611
3/27/2015,6.2155,0.1609
3/26/2015,6.2114,0.161
3/25/2015,6.2129,0.161
3/24/2015,6.2056,0.1611
3/23/2015,6.2145,0.1609
3/20/2015,6.2048,0.1612
3/19/2015,6.1962,0.1614
3/18/2015,6.2295,0.1605
3/17/2015,6.2497,0.16
3/16/2015,6.2619,0.1597
3/13/2015,6.2587,0.1598
3/12/2015,6.2625,0.1597
3/11/2015,6.262,0.1597
3/10/2015,6.2619,0.1597
3/9/2015,6.2646,0.1596
3/6/2015,6.2629,0.1597
3/5/2015,6.2663,0.1596
3/4/2015,6.2705,0.1595
3/3/2015,6.2748,0.1594
3/2/2015,6.2729,0.1594
2/27/2015,6.2695,0.1595
2/26/2015,6.259,0.1598
2/25/2015,6.26,0.1597
2/17/2015,6.2549,0.1599
2/16/2015,6.2492,0.16
2/13/2015,6.2404,0.1602
2/12/2015,6.2455,0.1601
2/11/2015,6.2424,0.1602
2/10/2015,6.2411,0.1602
2/9/2015,6.2473,0.1601
2/6/2015,6.2443,0.1601
2/5/2015,6.2522,0.1599
2/4/2015,6.2481,0.16
2/3/2015,6.258,0.1598
2/2/2015,6.2599,0.1597
1/30/2015,6.2505,0.16
1/29/2015,6.2468,0.1601
1/28/2015,6.2472,0.1601
1/27/2015,6.2435,0.1602
1/26/2015,6.2544,0.1599
1/23/2015,6.2286,0.1605
1/22/2015,6.209,0.1611
1/21/2015,6.2123,0.161
1/20/2015,6.2137,0.1609
1/19/2015,6.2204,0.1608
1/16/2015,6.2076,0.1611
1/15/2015,6.1884,0.1616
1/14/2015,6.1959,0.1614
1/13/2015,6.1978,0.1613
1/12/2015,6.2034,0.1612
1/9/2015,6.2093,0.161
1/8/2015,6.2147,0.1609
1/7/2015,6.2132,0.1609
1/6/2015,6.2129,0.161
1/5/2015,6.2199,0.1608
12/31/2014,6.2057,0.1611
12/30/2014,6.2024,0.1612
12/29/2014,6.2236,0.1607
12/26/2014,6.2118,0.161
12/25/2014,6.198,0.1613
12/24/2014,6.2162,0.1609
12/23/2014,6.2254,0.1606
12/22/2014,6.2228,0.1607
12/19/2014,6.2206,0.1608
12/18/2014,6.2155,0.1609
12/17/2014,6.1974,0.1614
12/16/2014,6.1904,0.1615
12/15/2014,6.191,0.1615
12/12/2014,6.1869,0.1616
12/11/2014,6.1891,0.1616
12/10/2014,6.1754,0.1619
12/9/2014,6.1867,0.1616
12/8/2014,6.1715,0.162
12/5/2014,6.1502,0.1626
12/4/2014,6.1548,0.1625
12/3/2014,6.1506,0.1626
12/2/2014,6.15,0.1626
12/1/2014,6.1506,0.1626
11/28/2014,6.1434,0.1628
11/27/2014,6.1391,0.1629
11/26/2014,6.139,0.1629
11/25/2014,6.1373,0.1629
11/24/2014,6.1426,0.1628
11/21/2014,6.1252,0.1633
11/20/2014,6.1244,0.1633
11/19/2014,6.1201,0.1634
11/18/2014,6.1213,0.1634
11/17/2014,6.1242,0.1633
11/14/2014,6.1305,0.1631
11/13/2014,6.1254,0.1633
11/12/2014,6.1265,0.1632
11/11/2014,6.1251,0.1633
11/10/2014,6.1201,0.1634
11/7/2014,6.1222,0.1633
11/6/2014,6.1123,0.1636
11/5/2014,6.1145,0.1635
11/4/2014,6.1151,0.1635
11/3/2014,6.1188,0.1634
10/31/2014,6.1129,0.1636
10/30/2014,6.1154,0.1635
10/29/2014,6.1114,0.1636
10/28/2014,6.1136,0.1636
10/27/2014,6.1165,0.1635
10/24/2014,6.1167,0.1635
10/23/2014,6.1197,0.1634
10/22/2014,6.118,0.1635
10/21/2014,6.1212,0.1634
10/20/2014,6.1238,0.1633
10/17/2014,6.1242,0.1633
10/16/2014,6.1233,0.1633
10/15/2014,6.1259,0.1632
10/14/2014,6.1248,0.1633
10/13/2014,6.1263,0.1632
10/10/2014,6.1309,0.1631
10/9/2014,6.1305,0.1631
10/8/2014,6.1387,0.1629
9/30/2014,6.1394,0.1629
9/29/2014,6.1533,0.1625
9/26/2014,6.1271,0.1632
9/25/2014,6.1366,0.163
9/24/2014,6.1343,0.163
9/23/2014,6.1384,0.1629
9/22/2014,6.1408,0.1628
9/19/2014,6.1405,0.1629
9/18/2014,6.1416,0.1628
9/17/2014,6.1397,0.1629
9/16/2014,6.1464,0.1627
9/15/2014,6.1416,0.1628
9/12/2014,6.1351,0.163
9/11/2014,6.1303,0.1631
9/10/2014,6.13,0.1631
9/9/2014,6.1367,0.163
9/5/2014,6.1414,0.1628
9/4/2014,6.1384,0.1629
9/3/2014,6.1414,0.1628
9/2/2014,6.1478,0.1627
